Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
ATTINY841,ATtiny841-SSU,SOIC-14_3.9x8.7mm_P1.27mm,20.950000,41.600000,270.000000,top
C1,100nF,C_0805_2012Metric,22.710000,48.540000,0.000000,top
C2,1uF,C_0805_2012Metric,27.945000,44.500000,0.000000,top
C4,22pF,C_0805_2012Metric,22.725000,50.775000,0.000000,top
C5,22pF,C_0805_2012Metric,12.345000,48.110000,0.000000,top
D1,AZ432ANTR-E1,SOT-23,27.460000,52.410000,270.000000,top
D2,SMBJ5.0A,D_SMB,22.550000,11.950000,0.000000,top
D3,Red,LED_0805_2012Metric,11.200000,13.035000,0.000000,top
D4,Blue,LED_0805_2012Metric,2.775000,49.450000,0.000000,top
F1,mSMD150,Fuse_1812_4532Metric,27.650000,3.650000,270.000000,top
Q1,AO3400A,SOT-23,3.175000,14.550000,270.000000,top
R1,10KOHMS,R_0805_2012Metric,11.550000,43.210000,0.000000,top
R2,1KOHMS,R_0805_2012Metric,27.420000,49.460000,0.000000,top
R3,6.8K,R_0805_2012Metric,11.575000,40.725000,0.000000,top
R4,2.7K,R_0805_2012Metric,11.575000,38.325000,0.000000,top
R5,220OHMS,R_0805_2012Metric,12.325000,51.500000,0.000000,top
R6,3.3OHM 3/4W,R_2010_5025Metric,5.650000,20.150000,180.000000,top
R8,3.3OHM 3/4W,R_2010_5025Metric,5.650000,25.725000,0.000000,top
R12,3.3OHM 3/4W,R_2010_5025Metric,5.650000,31.300000,180.000000,top
R14,510OHMS,R_0805_2012Metric,27.925000,41.075000,0.000000,top
R15,10KOHMS,R_0805_2012Metric,3.200000,11.450000,0.000000,top
R16,4.7KOHMS,R_0805_2012Metric,2.750000,53.650000,0.000000,top
R17,2.2KOHMS,R_0805_2012Metric,7.550000,13.080000,0.000000,top
R18,2.2KOHMS,R_0805_2012Metric,2.750000,51.625000,0.000000,top
R19,CMFB103F3950FANT,R_0805_2012Metric,12.800000,28.500000,180.000000,top
R20,10KOHMS,R_0805_2012Metric,27.925000,38.675000,0.000000,top
R21,10KOHMS,R_0805_2012Metric,27.925000,36.275000,0.000000,top
R22,3.3OHM 3/4W,R_2010_5025Metric,12.725000,20.150000,0.000000,top
R23,CMFB103F3950FANT,R_0805_2012Metric,3.870000,4.280000,90.000000,top
R24,3.3OHM 3/4W,R_2010_5025Metric,19.800000,20.150000,180.000000,top
R25,3.3OHM 3/4W,R_2010_5025Metric,12.700000,25.725000,180.000000,top
R26,3.3OHM 3/4W,R_2010_5025Metric,19.750000,25.725000,0.000000,top
R29,3.3OHM 3/4W,R_2010_5025Metric,12.700000,31.300000,0.000000,top
R30,3.3OHM 3/4W,R_2010_5025Metric,19.750000,31.250000,180.000000,top
U1,EL3H7(B)(TA)-G,SOP-4_4.4x2.6mm_P1.27mm,15.025000,56.950000,90.000000,top
Y1,8MHZ Ceramic Resonator,Crystal_SMD_5032-2pin_5.0x3.2mm,17.420000,49.595000,0.000000,top
